City,Mexico,China,India,Philippines,Dominican Republic,Cuba,Vietnam,El Salvador,Korea,Jamaica,Brazil,Haiti,Colombia,Pakistan,Iraq,Bangladesh,Nigeria,Ethiopia,Canada,Iran,Guatemala,United Kingdom,Nepal,Other Countries
Los Angeles,1516884,356993,94069,290311,2470,18534,243916,289194,205551,7279,17586,1539,22669,12889,136572,9190,13661,7978,41171,136572,189291,45275,3652,610349
Washington,48393,76453,107765,46936,13817,4966,47846,191848,60280,25537,13168,6534,21104,30532,22037,13672,27900,55470,12298,22037,58016,18066,11768,498851
New York,271391,537248,369306,151769,672353,61977,26109,149344,135891,256832,64793,163326,188174,77078,19725,115683,51798,5770,47536,19725,86697,71296,14230,2259637
San Francisco,219946,302826,145756,162631,1144,2296,57717,55051,31830,2702,13893,740,5790,10192,18463,2375,6417,5443,21476,18463,32987,24324,5549,290850
San Jose,133137,141406,132839,54251,178,649,101919,8434,22830,374,4166,130,3546,3827,17367,1321,766,3875,10041,17367,4149,9551,1969,106036
San Diego,316331,37877,26982,90586,1440,1808,34569,5030,14255,1218,5937,868,5079,1416,12205,777,1135,2789,12048,12205,8452,11147,311,138708
Dallas,585626,47048,139280,25625,2919,11593,59929,62385,25554,3868,8510,1253,11388,21210,11799,6795,28815,16234,15868,11799,21007,14160,15482,252179
Houston,590469,67940,88853,40283,5594,29862,94863,127122,12448,9137,9003,2018,34783,31818,11519,5095,50204,5584,18426,11519,42269,23301,3496,331747
Seattle,90947,91928,86923,53218,1028,1534,50506,8946,40300,1791,6739,1329,3702,5233,8824,1149,1711,17270,27907,8824,7059,14811,2099,234996
Sacramento,102549,33483,32166,40389,194,768,28398,7250,7252,506,1675,237,1873,5315,6744,332,1542,1848,6402,6744,3588,7137,1807,143642
Atlanta,137975,37052,89046,11873,9843,8114,36175,20185,35997,43587,15744,12946,18227,9184,6123,8064,23590,15087,13990,6123,22284,14441,3224,234520
Boston,9259,109307,66561,9728,88468,3210,29840,38703,15654,12956,62429,55043,21450,5082,6121,3894,7734,5550,21473,6121,25027,20353,4991,257955
Chicago,607107,74619,149034,86730,3625,6574,20217,10548,36896,7299,7230,4015,14036,28245,6008,1992,18942,3980,17035,6008,22415,16457,2385,537578
Riverside,554094,46072,16428,68771,798,4866,22070,32842,16874,1886,2212,637,6471,5209,4712,1421,5522,946,14261,4712,25830,10085,258,118192
Phoenix,333171,22157,39862,23385,1428,6980,15962,8341,7007,2016,2458,1166,4315,1977,4419,1885,2174,3105,30597,4419,12675,12644,886,125773
Portland,73071,23857,18728,12047,211,2239,23262,2798,10342,654,1898,501,1237,766,4260,550,867,3466,10216,4260,6435,8415,713,103045
Las Vegas,173489,23841,7596,80338,1453,21653,9944,21666,9903,1682,3327,676,3952,983,3806,120,1406,9607,8063,3806,11403,5981,465,82735
Baltimore,10533,20198,26323,14362,4096,1173,4530,16524,17077,8648,2337,1328,3380,8147,3603,2192,19204,5662,3956,3603,7050,5792,5449,99990
Miami,71077,22725,21781,14854,69352,782198,11992,28278,4214,141162,60238,230516,186517,5698,3564,6306,4246,286,33880,3564,53063,18837,775,681101
Austin,128659,14841,36019,6243,1106,6638,11736,8905,7280,477,2465,359,3788,3750,3488,1063,3603,2402,6215,3488,5487,6549,3079,69594
Philadelphia,47412,59111,87321,19732,34961,3369,25775,5529,23134,23468,11295,14305,8983,8590,2557,8791,11036,2715,10077,2557,9930,14901,1759,246254
Denver,134863,13325,16171,6628,1424,1424,14446,6170,9336,838,2805,681,2896,1629,2360,962,1759,9565,8109,2360,4391,6861,3387,96863
Detroit,36209,19864,56973,11888,1659,1361,5260,2516,10727,2596,4717,457,1983,7820,2187,16035,4395,633,21956,2187,1229,7422,887,220440
San Antonio,178901,5262,11918,8967,782,3347,4167,4876,3655,1290,1102,235,3580,1603,2110,1039,1112,481,3672,2110,2796,3352,466,46964
Nashville,36527,5349,10288,3477,740,2379,2928,6626,2838,917,680,418,1690,481,1923,429,2526,3213,4353,1923,6856,3342,1242,65597
Orlando,25964,11683,15212,11954,30076,32682,14185,4114,3560,27017,25645,41172,43175,3305,1723,1818,1532,298,8918,1723,8559,11728,245,156981
Charlotte,51532,9020,31920,4308,5463,3908,9542,10870,3575,4033,3725,1450,7049,1173,1430,457,2456,2081,5555,1430,6587,6692,2093,95802
Tampa,40106,10232,24234,12713,15169,76244,13436,2839,3257,13972,7420,9468,25171,2093,1381,1108,1818,607,19343,1381,5338,12218,355,145891
Raleigh,33981,8789,32118,3570,3296,1329,5082,5499,2939,1155,1313,951,2079,1254,1260,1048,2457,1075,3803,1260,1515,4203,819,47224
St. Louis,12833,12040,17842,6206,247,532,6465,505,4124,1171,1187,380,1451,1861,1013,244,2095,1050,3082,1013,1695,3213,733,53850
Richmond,7955,5258,12838,3124,790,826,3938,9231,3724,1813,1425,651,1723,1504,864,610,616,1535,1840,864,7180,2890,442,32766
Indianapolis,33013,7334,15417,4048,1283,445,2102,3203,2440,619,1351,1548,1431,1758,741,1027,9771,1162,2613,741,2303,2409,105,54588
Pittsburgh,3038,11120,14623,2540,891,229,2374,403,2565,1628,1071,414,806,1149,666,516,1341,263,3217,666,745,3225,1611,40274
New Orleans,6684,3414,2026,2145,2862,4202,10651,2041,605,485,1700,1634,999,1286,595,134,782,494,1536,595,3613,1381,286,45064
Jacksonville,8418,3874,11026,15461,2553,9450,3884,1525,1141,4747,4760,5304,5488,530,524,688,1049,746,3797,524,2309,3962,108,57699
Cincinnati,10274,9504,16854,3352,1247,733,2866,1287,2086,750,806,154,751,1081,510,243,1804,1613,3284,510,5228,2552,1629,44997
Buffalo,1029,5065,4449,986,1756,701,1439,209,1587,1983,378,609,691,1375,499,5420,500,571,5771,499,347,1700,919,37736
Virginia Beach,6861,4998,4887,21648,2039,1667,3951,4195,4066,3717,1159,1292,1703,1020,377,1040,1513,737,2549,377,2253,4591,396,40909
